id	title	description	link	image_link	mobile_link	additional_image_link	availability	price	google_product_category	product_type	brand	gtin	mpn	condition	age_group	color	gender	promotion_id	custom_label_1	custom_label_0	custom_label_2	custom_label_3	custom_label_4
manifold_7861516435594_44073553035402_uricacid	Uric Acid Support Supplement - 120 Caps x 3 Bottles	Reduce uric acid levels by giving your body what it needs to thrive.. 120 caps - 3 bottles	https://reddremedies.com/products/gouch-%E2%84%A2-3-pack-120-capsules?variant=44073553035402&fdzly=uricacidsup	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0-3Pack.webp?v=1739984827			in_stock	203.97 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Uric Acid Reduction Supplements > Uric Acid Flush Supplements	Redd Remedies		CODE50041		adult				gouch	MP			
manifold_5191737180298_34271746621578_uricacid	Uric Acid Flush & Cleanse Support Supplement 60 Caps	Support removal of uric acid and enjoy the benefits. 60 Caps - 1 Bottle	https://reddremedies.com/products/gouch?variant=34271746621578&fdzly=uricacidsup	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Bottle-Render-0824.0.webp?v=1739985398		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Carton-Render-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Bottle-Render-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-SF_Panel-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-Ingredients-TN_02-2025.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-Callouts-TN_04-2024.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-how-to-take-TN_04-2024_6c22daa7-03b1-40ea-b2f6-a4b0d381e720.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0.webp?v=1739985398	in_stock	42.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Uric Acid Reduction Supplements > Uric Acid Flush Supplements	Redd Remedies		85573500113		adult				gouch	single			
manifold_7861515288714_44073546055818_uricacid	Uric Acid Removal & Support Supplement - 60 Caps x 3 Bottles	Cleanse & Removal Support of uric acid.. - 3 Bottles of 60 caps each bottle.	https://reddremedies.com/products/gouch-%E2%84%A2-3-pack-60-capsules?variant=44073546055818&fdzly=uricacidsup	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Bottle-Render-0824.0-3Pack.webp?v=1739984827			in_stock	109.62 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Uric Acid Reduction Supplements > Uric Acid Flush Supplements	Redd Remedies		CODE50040		adult				gouch	MP			
manifold_5191737180298_34271746654346_uricacid	Uric Acid Support Supplement - 120 Caps	Support reduction of uric acid by giving your body what it needs. 120 Caps - 1 Bottle	https://reddremedies.com/products/gouch?variant=34271746654346&fdzly=uricacidsup	https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0.webp?v=1739985398		https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Carton-Render-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-Bottle-Render-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-60-SF_Panel-0824.0.webp?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-Ingredients-TN_02-2025.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-Callouts-TN_04-2024.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/RR_Gouch-how-to-take-TN_04-2024_6c22daa7-03b1-40ea-b2f6-a4b0d381e720.png?v=1739985398,https://cdn.shopify.com/s/files/1/0278/5781/3642/files/G-120-Bottle-Render-0824.0.webp?v=1739985398	in_stock	79.99 USD	Health & Beauty > Health Care > Fitness & Nutrition > Vitamins & Supplements	Uric Acid Reduction Supplements > Uric Acid Flush Supplements	Redd Remedies		85573500122		adult				gouch	single			
